Key,Button,MIDI Value,Note Frequency
nat,SW1,MIDI 59,  B3 - 246.94hz
nat,SW2,MIDI 60,  C4 - 261.63hz
s&f,SB1,MIDI 61,  C4♯/D♭4 - 277.18hz
nat,SW3,MIDI 62,  D4 - 293.67hz
s&f,SB2,MIDI 63,  D4♯/E♭4 - 311.13hz
nat,SW4,MIDI 64,  E4 - 329.63hz
nat,SW5,MIDI 65,  F4 - 349.23hz
s&f,SB3,MIDI 66,  F4♯/G♭4 - 369.99
nat,SW6,MIDI 67,  G4 - 392hz  
s&f,SB4,MIDI 68,  G4♯/A♭4 - 415.3hz
nat,SW7,MIDI 69,  A4 - 440hz Concert Pitch
s&f,SB5,MIDI 70,  A4♯/B♭4 - 466.16hz
nat,SW8,MIDI 71,  B4 - 493.88hz
nat,SW9,MIDI 72,  C5 - 523.25hz
s&f,SB6,MIDI 73,  C5♯/D♭5 - 554.37hz
nat,SW10,MIDI 74,  D5 - 587.33hz
s&f,SB7,MIDI 75,  D5♯/E♭5 - 622.25hz
nat,SW11,MIDI 76,  E5 - 659.26hz
nat,SW12,MIDI 77,  F5 - 689.46hz